Date,Close,High,Low,Open,Volume
2015-01-02,77.83915710449219,78.31542298294325,77.09499687378008,77.9681497226088,18177500
2015-01-05,76.5889663696289,78.63292386083921,76.26153408123444,77.37281598276019,26452200
2015-01-06,75.55707550048828,76.9858580947277,74.77322576150083,76.62866812366023,27399300
2015-01-07,75.55707550048828,76.75765318071265,75.22964315952076,76.16232646894707,22045300
2015-01-08,77.57125091552734,77.62086461799993,75.4876041014778,76.1424610681845,23961000
2015-01-09,77.1346664428711,78.00781906660528,76.59887030648531,77.59108369164697,21157000
2015-01-12,76.12262725830078,77.39265943266423,75.61659621164416,77.23390162587435,19190200
2015-01-13,75.85472106933594,77.47203396224693,75.25939446746183,76.62865397875957,25179600
2015-01-14,75.68605041503906,76.59888508875221,75.43799702087861,75.82495971016981,25918600
2015-01-15,73.47342681884766,75.97380198842959,72.96739571703131,75.8051274778207,34134000
2015-01-16,74.59463500976562,74.73354433844378,73.26506455957247,73.4635118648203,21791500
2015-01-20,75.6463623046875,75.71581695348422,74.23742081767473,75.13041456648176,22821600
2015-01-21,76.14247131347656,76.6981160899788,75.25940179455868,75.56699316529772,25096700
2015-01-22,77.0453872680664,77.14460711370039,76.08293886844001,76.56912141103876,19519500
2015-01-23,77.22399139404297,77.58118891918227,76.44014168998672,77.04539263147332,16746500
2015-01-26,76.89655303955078,77.8590014307279,76.68818909455196,77.37281889239732,19260800
2015-01-27,75.18994903564453,76.28138253446701,75.04111547444387,76.11270803110132,20110000
2015-01-28,75.6463623046875,77.03546285061077,75.40823316166862,76.30122691047565,53306400
2015-01-29,77.39266204833984,77.4125029898647,73.63217153528464,76.25161487593701,61293500
2015-01-30,75.31893920898438,77.55141984453472,75.16018139686156,77.3926620324119,42649500
2015-02-02,74.40609741210938,75.54714459168213,73.17575464012992,75.51737939421322,41955300
2015-02-03,74.81290435791016,74.99150310251216,73.28489455853504,74.6045404175393,26957700
2015-02-04,75.04112243652344,75.7555175405744,74.42595476247183,74.5053261084852,20277400
2015-02-05,75.02127075195312,75.38839250841687,74.624383798747,75.12049059775741,15062600
2015-02-06,73.89014434814453,75.1105627765814,73.67185615574414,75.09072183635801,21211000
2015-02-09,73.8603744506836,74.24733710530798,72.87807764741726,73.47341179605922,16194300
2015-02-10,74.60454559326172,74.75337158243096,73.91991576312613,74.26718902116981,15811300
2015-02-11,75.91427612304688,76.15240530342123,74.44579644242627,74.50532684502232,20877400
