Date,Close,High,Low,Open,Volume
2015-01-02,39.76767349243164,40.32897929609017,39.580573720719414,39.68262843658617,27913900
2015-01-05,39.4019889831543,39.74217255290114,39.333950322647794,39.43600506914566,39673900
2015-01-06,38.823673248291016,39.75918211807027,38.730121712460715,39.44451142467352,36447900
2015-01-07,39.31694412231445,39.51255042211555,38.687602678478235,39.10432815588775,29114100
2015-01-08,40.473575592041016,40.60964968109724,39.73367293556417,39.759185813430285,29645200
2015-01-09,40.13339614868164,40.66918939251638,39.886764047213525,40.49059272599239,23944200
2015-01-12,39.63161849975586,40.43105668358628,39.42750896994649,40.32899867441911,23651900
2015-01-13,39.42749786376953,40.74571595702822,39.17235940124552,39.9462812426499,35270600
2015-01-14,39.08732223510742,39.325454346424465,38.79816436328583,39.08732223510742,29719600
2015-01-15,38.679107666015625,39.44452666930123,38.61957543734487,39.30845254030192,32750800
2015-01-16,39.325435638427734,39.35945171449439,38.415436663099534,38.534504284246154,35695300
2015-01-20,39.45301818847656,39.6741406102206,38.75563807853709,39.37647631083627,36161900
2015-01-21,39.05330276489258,39.240405870802014,38.6790997973362,39.070312433090024,39081100
2015-01-22,40.08236312866211,40.0908663398925,39.18937671340926,39.44451522572976,35898000
2015-01-23,40.124874114990234,40.30347069774193,39.80169702887196,40.27795782713776,26211600
2015-01-26,39.98030471801758,40.08236271730814,39.32545039934502,39.97180150687445,42525500
2015-01-27,36.280784606933594,36.74003582526155,35.81303017830853,36.52741988095363,169164000
2015-01-28,35.030609130859375,36.391353405119496,35.00509625037896,36.34883085623129,84507100
2015-01-29,35.72798538208008,35.821536925895444,34.69042167749857,34.80948609898643,63585300
2015-01-30,34.35873794555664,35.362285463623955,34.31621216122655,35.33676934417353,78004900
2015-02-02,35.10715103149414,35.183692917230466,34.21416452741203,34.520332070357334,50352500
2015-02-03,35.37928771972656,35.65994229081227,34.91153334551186,35.40480383617347,52082400
2015-02-04,35.58339309692383,35.89806368465525,35.17517100477638,35.66843814952341,41614800
2015-02-05,36.10219192504883,36.2637788923907,35.600418112052054,35.90658562428903,36548200
2015-02-06,36.06815719604492,36.391334237043694,35.847038111736794,36.29778273220767,34616600
2015-02-09,36.02565002441406,36.348827203157484,35.898079146307865,35.92359526848642,31381100
2015-02-10,36.22975540161133,36.37433592991583,35.87256217449755,36.34882305491108,29670700
2015-02-11,36.04264831542969,36.27227387698973,35.89806781625729,36.27227387698973,38262500
2015-02-12,36.646484375,36.646484375,36.15321382582502,36.28078469040803,33268800
2015-02-13,37.309852600097656,37.309852600097656,36.697520761835236,36.893127081139035,40264900
2015-02-17,37.326969146728516,37.68670430127669,36.99292515948473,37.66100986662304,33695700
2015-02-18,37.28415298461914,37.42976245265416,37.164241227031674,37.36980657386043,27111700
2015-02-19,37.25846862792969,37.28416307798276,36.87303554037741,36.98438360285945,27603400
2015-02-20,37.566795349121094,37.58392606260128,37.07858145065915,37.267012764242146,29721100
2015-02-23,37.81519317626953,37.849451342568656,37.38693505770408,37.4297602160906,32518800
2015-02-24,37.7637939453125,37.94366153722187,37.618184513279054,37.81518608615069,25271700
2015-02-25,37.678138732910156,37.76378902245898,37.51539860847864,37.643877310150984,29759800
2015-02-26,37.73810958862305,37.88371579219916,37.59250011769652,37.67815370863872,28957300
2015-02-27,37.55824279785156,37.858025497981004,37.395505858250395,37.79806961142527,33807700
2015-03-02,37.58391189575195,37.84942968623696,37.30126013089572,37.40404110568513,31924000
2015-03-03,37.07002258300781,37.541109138563314,36.90728567031151,37.30984935693158,31748600
2015-03-04,36.881595611572266,37.010071105070374,36.727422405494046,36.83876717972228,25748700
2015-03-05,36.92441940307617,37.03576744051466,36.67602888392511,36.89015796581041,23193500
2015-03-06,36.282012939453125,36.92439984484755,36.10214539010639,36.830182575947234,36248800
2015-03-09,36.701725006103516,36.941551810577614,36.13642433477633,36.13642433477633,32108000
2015-03-10,35.99937438964844,36.58180565974298,35.99937438964844,36.27345930882823,39159700
2015-03-11,35.956546783447266,36.29058755172553,35.83663504789607,36.23919867497487,32215300
2015-03-12,35.13430404663086,35.67391030771937,34.997261549710856,35.39982531387936,59992500
2015-03-13,35.44265365600586,35.519740271637154,34.78313555946061,34.8602221750919,58007700
2015-03-16,35.596824645996094,35.66534426260353,35.35699781949269,35.51973803521838,35273500
2015-03-17,35.71672439575195,35.82807241100551,35.24564116293283,35.434072495650575,31673400
2015-03-18,36.40193557739258,36.68458746902727,35.39981327217812,35.4854635783615,44194800
2015-03-19,36.222068786621094,36.479022978285606,36.1621129174777,36.19637108030977,33879100
2015-03-20,36.7274055480957,36.81305583778208,36.39336484403008,36.453320700280365,71904500
2015-03-23,36.710269927978516,36.9415296000278,36.64174709151265,36.72740063709498,26246100
2015-03-24,36.744544982910156,36.97580147343508,36.61606625052975,36.64176069006587,25513300
2015-03-25,35.51116180419922,36.77024169695081,35.49403108766551,36.761674705008915,43469900
2015-03-26,35.297027587890625,35.639635333773,35.04863713549338,35.30559457857997,37495600
2015-03-27,35.09147262573242,35.48546932574905,34.97156087071434,35.21994810581596,34401400
2015-03-30,35.08290100097656,35.57968194028548,35.040075846603344,35.20281274016152,35049700
2015-03-31,34.825958251953125,35.14286841927833,34.72317719421134,34.92873930969491,34887200
2015-04-01,34.87734603881836,34.91160420886701,34.52617447385327,34.77456172662089,36865300
2015-04-02,34.509037017822266,34.89446994493697,34.36342757097899,34.82594708351664,37487500
2015-04-06,35.5882453918457,35.78524371433467,34.41481918078109,34.55186163413645,39223700
2015-04-07,35.57111358642578,35.896590628424356,35.382682260931624,35.63963644467799,28809400
2015-04-08,35.47689437866211,35.70815411177948,35.15142062154836,35.51115580594236,24753400
2015-04-09,35.52829360961914,35.6482053616801,35.33129526446898,35.33129526446898,25723900
2015-04-10,35.73386001586914,35.930858366912055,35.46833879454158,35.65677342047406,28022000
2015-04-13,35.76810836791992,36.025065793620946,35.4511983481979,35.459765338307605,30276700
2015-04-14,35.67390441894531,35.99937825330932,35.45120835611698,35.802379900715216,24244400
2015-04-15,36.196372985839844,36.36767687841762,35.69959529144928,35.76811488807039,27343600
2015-04-16,36.110721588134766,36.26489476008702,35.81950595970828,35.930853976640435,22509700
2015-04-17,35.64820098876953,35.750985278513554,35.254204346800165,35.69102614248798,42387600
2015-04-20,36.75312423706055,36.97581709762259,35.699609295366464,35.74243446847248,46057700
2015-04-21,36.5218505859375,36.95867568172866,36.42763328028254,36.830196943590074,26013800
2015-04-22,36.82164001464844,36.94155178312104,36.44477072247666,36.54755177154595,25064300
2015-04-23,37.12141418457031,37.35267396277477,36.658894628161384,36.73598122089621,46309500
2015-04-24,41.00143814086914,41.232697955241726,39.09997400161236,39.108537727766596,130933700
2015-04-27,41.13846969604492,41.22412327157369,40.444693704685896,40.453257428563866,59248200
2015-04-28,42.1063346862793,42.14915984120738,40.855821865219895,40.92434145963485,60730800
2015-04-29,42.02069091796875,42.23481999329346,41.54104061299524,41.72947524483312,47804600
2015-04-30,41.660953521728516,42.43181952110403,41.626692084567274,41.71234567747038,64725500
2015-05-01,41.67808151245117,41.86651613715435,41.455388720179464,41.60956190996383,38937300
2015-05-04,41.31835174560547,41.857954714299154,41.2669595863891,41.42969652288154,34039500
2015-05-05,40.770172119140625,41.249822394517054,40.52178489027712,40.95860673935104,50369200
2015-05-06,39.63957214355469,40.91578283036274,39.41687934978934,40.74447892197,52433000
2015-05-07,39.999298095703125,40.333338814950174,39.53677866873832,39.630995952084774,32971700
2015-05-08,40.89864730834961,41.095645636286896,40.70164898041232,40.72734342008026,35364900
2015-05-11,40.57317352294922,41.03569307841189,40.57317352294922,40.72734670810344,24609400
2015-05-12,40.5560417175293,40.83869363850939,39.759481371394585,40.127783607450425,29928300
2015-05-13,40.795875549316406,41.38687066737578,40.74448339095664,41.275522624604946,34184600
2015-05-14,41.72947311401367,41.815123432829864,41.138474805191166,41.138474805191166,32980900
2015-05-15,41.369747161865234,41.89222276057009,41.15561803238627,41.85796131568917,28642700
