date,AAPL,GOOGL,AMZN,MSFT,META,fed_rate
2015-01-02,100.0,100.0,100.0,100.0,100.0,0.11
2015-01-05,97.18284542583969,98.09459499112583,97.9482709876823,99.08044781813314,98.39387940290128,0.11
2015-01-06,97.19201397400165,95.67368465702172,95.71178534624296,97.62621204300453,97.06820874108334,0.11
2015-01-07,98.55487454842537,95.39230118671905,96.72630541825633,98.86659356574387,97.06820874108334,0.11
2015-01-08,102.3415479533973,95.7246577654749,97.38752828148887,101.77506511600112,99.65582079902894,0.11
2015-01-09,102.45130272151496,94.55574081547095,96.24336018306394,100.91964810644404,99.09494053144053,0.11
2015-01-12,99.92684065693436,93.86460415146844,94.45417290636306,99.65787540299114,97.79477333768259,0.11
2015-01-13,100.81408673383545,94.75969861804626,95.53352008270866,99.14459258290066,97.45059413671152,0.11
2015-01-14,100.42990566162575,95.53959879849309,95.0570476663448,98.28918516580131,97.23390287158072,0.11
2015-01-15,97.70420026629749,95.1770345882102,93.00855815456784,97.26268667282439,94.39134434641433,0.11
2015-01-16,96.94504605383797,96.39504347894298,94.23700272507527,98.88794637662656,95.8317610115291,0.11
2015-01-20,99.44207336476896,96.29684507109361,93.8156389114215,99.20876612504134,97.18291553843387,0.11
2015-01-21,100.20123545398806,98.27021906670258,96.34707984064379,98.20363962786253,97.820267004256,0.11
2015-01-22,102.80803328655588,101.4634903839645,100.58343157448444,100.79132020707814,98.98024353557655,0.11
2015-01-23,103.33853304489689,102.34159623545654,101.25437912159212,100.89821855589962,99.20969633622391,0.11
2015-01-26,103.44827993625496,101.35397591698575,100.36950707599036,100.53468359326176,98.7890361355326,0.11
2015-01-27,99.82620717642115,98.42129354031698,99.4262931093907,91.23185095008976,96.59656120724517,0.11
2015-01-28,105.46969274966335,96.76705710702261,98.50577419333501,88.08815315164516,97.18291553843387,0.11
2015-01-29,108.75333265698224,96.91813158063701,101.05665830805464,89.8417791246441,99.42638760135473,0.11
2015-01-30,107.16182550519962,101.5107156833607,114.91313347304815,86.39866235095599,96.76227494071571,0.11
2015-02-02,108.50636473681857,100.50042693065188,118.13496513487544,88.28062581577858,95.58954667536516,0.11
