date,sp500,sp500_norm,fed_rate
2015-01-02,2058.199951171875,100.0,0.11
2015-01-05,2020.5799560546875,98.17218948548863,0.11
2015-01-06,2002.6099853515625,97.29909789431967,0.11
2015-01-07,2025.9000244140625,98.43067109493313,0.11
2015-01-08,2062.139892578125,100.1914265620309,0.11
2015-01-09,2044.81005859375,99.34943674590502,0.11
2015-01-12,2028.260009765625,98.54533368396967,0.11
2015-01-13,2023.030029296875,98.29122909778638,0.11
2015-01-14,2011.27001953125,97.71985556534949,0.11
2015-01-15,1992.6700439453125,96.81615446598121,0.11
2015-01-16,2019.4200439453125,98.11583382826909,0.11
2015-01-20,2022.550048828125,98.2679086974299,0.11
2015-01-21,2032.1199951171875,98.73287548958311,0.11
2015-01-22,2063.14990234375,100.24049904233341,0.11
2015-01-23,2051.820068359375,99.6900260925151,0.11
2015-01-26,2057.090087890625,99.94607602237004,0.11
2015-01-27,2029.550048828125,98.60801170812206,0.11
2015-01-28,2002.1600341796875,97.27723650171694,0.11
2015-01-29,2021.25,98.2047443373596,0.11
2015-01-30,1994.989990234375,96.9288717113461,0.11
2015-02-02,2020.8499755859375,98.18530869342061,0.11
2015-02-03,2050.030029296875,99.6030549961704,0.11
2015-02-04,2041.510009765625,99.18910009706553,0.11
2015-02-05,2062.52001953125,100.20989546505992,0.11
2015-02-06,2055.469970703125,99.86736077477819,0.11
2015-02-09,2046.739990234375,99.44320468324882,0.11
2015-02-10,2068.590087890625,100.50481668279285,0.11
2015-02-11,2068.530029296875,100.50189866728539,0.11
2015-02-12,2088.47998046875,101.47118987538768,0.11
2015-02-13,2096.989990234375,101.88465843857463,0.11
2015-02-17,2100.340087890625,102.04742676700369,0.11
2015-02-18,2099.679931640625,102.01535232012479,0.11
2015-02-19,2097.449951171875,101.90700616709529,0.11
2015-02-20,2110.300048828125,102.53134286717798,0.11
2015-02-23,2109.659912109375,102.50024109213491,0.11
2015-02-24,2115.47998046875,102.78301577377171,0.11
2015-02-25,2113.860107421875,102.70431238803152,0.11
2015-02-26,2110.739990234375,102.5527179238628,0.11
2015-02-27,2104.5,102.24954085737701,0.11
2015-03-02,2117.389892578125,102.8758110392797,0.11
2015-03-03,2107.780029296875,102.40890483438068,0.11
2015-03-04,2098.530029296875,101.95948299882318,0.11
2015-03-05,2101.0400390625,102.08143469570258,0.11
2015-03-06,2071.260009765625,100.63453789250718,0.11
2015-03-09,2079.429931640625,101.03148289633678,0.11
2015-03-10,2044.1600341796875,99.31785456586987,0.11
