date,aapl_close,fed_rate
2015-01-02,24.214889526367188,0.11
2015-01-05,23.532718658447266,0.11
2015-01-06,23.53493881225586,0.11
2015-01-07,23.864953994750977,0.11
2015-01-08,24.781892776489254,0.11
2015-01-09,24.808469772338867,0.11
2015-01-12,24.197174072265625,0.11
2015-01-13,24.412019729614254,0.11
2015-01-14,24.31899070739746,0.11
2015-01-15,23.658964157104492,0.11
2015-01-16,23.475135803222656,0.11
2015-01-20,24.079788208007812,0.11
2015-01-21,24.26361846923828,0.11
2015-01-22,24.894851684570312,0.11
2015-01-23,25.02331161499023,0.11
2015-01-26,25.04988670349121,0.11
2015-01-27,24.172805786132812,0.11
2015-01-28,25.539369583129883,0.11
2015-01-29,26.33449935913086,0.11
2015-01-30,25.94911766052246,0.11
2015-02-02,26.274696350097656,0.11
2015-02-03,26.27912139892578,0.11
2015-02-04,26.48067855834961,0.11
2015-02-05,26.66968536376953,0.11
2015-02-06,26.445104598999023,0.11
2015-02-09,26.62076759338379,0.11
2015-02-10,27.132183074951172,0.11
2015-02-11,27.76813316345215,0.11
2015-02-12,28.119455337524418,0.11
2015-02-13,28.257322311401367,0.11
2015-02-17,28.424095153808594,0.11
2015-02-18,28.621992111206055,0.11
2015-02-19,28.561954498291016,0.11
2015-02-20,28.795434951782227,0.11
2015-02-23,29.573684692382812,0.11
2015-02-24,29.38913345336914,0.11
2015-02-25,28.637561798095703,0.11
2015-02-26,28.9999942779541,0.11
2015-02-27,28.564180374145508,0.11
2015-03-02,28.70426368713379,0.11
2015-03-03,28.76429748535156,0.11
2015-03-04,28.58197021484375,0.11
2015-03-05,28.10834312438965,0.11
2015-03-06,28.15059280395508,0.11
2015-03-09,28.270662307739254,0.11
2015-03-10,27.685869216918945,0.11
2015-03-11,27.181114196777344,0.11
2015-03-12,27.67251968383789,0.11
2015-03-13,27.48128890991211,0.11
2015-03-16,27.783700942993164,0.11
2015-03-17,28.248430252075195,0.11
2015-03-18,28.566402435302734,0.11
2015-03-19,28.35071182250977,0.11
2015-03-20,27.994935989379883,0.11
2015-03-23,28.28622817993164,0.11
2015-03-24,28.17060089111328,0.11
2015-03-25,27.434595108032227,0.11
2015-03-26,27.62582015991211,0.11
2015-03-27,27.405691146850582,0.11
2015-03-30,28.099443435668945,0.11
2015-03-31,27.66807556152344,0.11
2015-04-01,27.628053665161133,0.12
2015-04-02,27.8659725189209,0.12
2015-04-06,28.31736183166504,0.12
2015-04-07,28.019399642944336,0.12
2015-04-08,27.928232192993164,0.12
2015-04-09,28.141698837280273,0.12
2015-04-10,28.26177215576172,0.12
2015-04-13,28.206178665161133,0.12
2015-04-14,28.083892822265625,0.12
2015-04-15,28.19061851501465,0.12
2015-04-16,28.054977416992188,0.12
2015-04-17,27.73923683166504,0.12
2015-04-20,28.372949600219727,0.12
2015-04-21,28.219528198242188,0.12
2015-04-22,28.59975814819336,0.12
